Year,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Riket,"178,635","181,508","178,273","178,334","179,861","185,087","189,311","197,576","205,806","211,591","215,456","219,428","222,343","226,863","230,789","234,680","238,714","240,822","245,474","243,458","243,265","248,958","255,064","259,724","268,336","275,833","280,169"
STOCKHOLM LAN,"198,767","199,949","196,153","196,229","196,815","204,018","209,101","217,873","227,822","235,315","240,747","243,606","244,736","248,877","252,879","257,507","262,456","265,287","270,843","270,322","270,252","276,896","283,701","289,677","299,498","306,954","311,489"
Upplands Vasby,"209,542","207,714","204,233","204,461","205,321","214,018","219,487","227,108","236,307","243,255","247,974","250,889","251,816","253,410","256,108","259,660","263,788","264,897","269,682","266,998","266,268","270,248","274,535","280,182","288,731","294,486","297,794"
Vallentuna,"202,595","203,416","199,994","202,188","204,312","212,440","218,446","225,513","236,333","243,894","250,124","255,168","256,064","260,564","267,393","272,538","279,393","281,846","289,545","291,443","292,408","299,079","307,019","314,342","321,238","328,467","332,725"
Osteraker,"203,871","204,525","202,246","204,139","204,972","211,947","217,202","226,313","237,271","246,992","252,492","255,936","256,092","261,779","267,715","272,249","276,735","278,827","286,973","287,755","285,871","290,522","298,908","304,536","311,709","315,974","321,023"
Varmdo,"201,319","201,891","198,670","200,722","202,343","208,683","216,307","225,602","235,566","244,225","250,106","255,043","257,034","263,733","268,684","273,592","279,421","282,246","289,484","291,257","290,157","295,115","302,742","309,232","318,869","325,355","329,533"
Jarfalla,"217,906","217,282","212,577","212,927","212,981","219,968","226,630","233,972","242,441","249,173","253,634","256,695","257,063","260,318","262,908","266,540","268,949","270,430","275,111","272,964","270,103","275,128","279,757","283,256","290,326","297,537","301,687"
Ekero,"215,071","212,706","209,001","211,309","212,684","223,222","228,434","238,177","249,737","258,858","265,146","267,639","271,380","278,371","282,979","288,020","294,181","296,733","304,550","303,880","305,227","309,961","316,937","323,855","333,218","340,618","345,643"
Huddinge,"204,721","204,803","201,186","200,161","200,077","207,329","211,803","220,457","229,609","236,596","242,164","244,364","245,256","249,049","252,670","255,463","258,650","259,557","263,332","262,951","262,628","268,186","274,072","279,072","288,694","296,211","300,000"
Botkyrka,"192,245","191,907","187,412","185,446","183,976","186,553","189,270","195,828","202,872","208,017","213,841","214,973","216,854","220,062","221,597","222,589","225,021","226,215","228,422","226,366","224,133","228,376","234,383","238,804","246,709","253,372","258,642"
Salem,"212,519","212,152","206,617","208,607","208,425","217,946","225,310","232,461","243,064","251,698","257,265","260,985","263,304","268,159","272,896","276,996","282,593","286,228","292,893","292,419","290,435","294,097","300,449","307,021","314,610","319,012","326,342"
Haninge,"203,587","203,555","198,272","197,506","197,109","203,901","208,135","215,571","225,270","231,998","237,245","240,643","241,100","244,838","247,851","251,117","254,110","255,197","260,025","258,120","255,549","261,885","267,760","272,735","280,819","287,244","291,590"
Tyreso,"213,511","213,122","209,663","210,322","210,765","218,027","223,738","232,966","242,621","251,190","257,225","261,753","263,113","265,901","270,683","275,492","280,238","282,300","288,645","287,825","287,124","292,318","300,941","307,081","316,552","323,207","326,735"
Upplands-Bro,"202,311","203,277","200,392","200,407","202,700","208,345","213,503","221,936","232,326","238,670","243,103","245,590","246,161","250,071","254,014","255,754","260,131","262,070","266,804","265,564","265,382","270,853","276,516","281,366","289,056","294,498","299,709"
Nykvarn,0,0,0,0,0,0,0,"234,565","244,831","251,919","260,020","262,071","264,616","273,322","279,286","284,863","292,726","296,589","298,105","299,839","299,992","306,264","315,067","319,188","329,131","338,334","345,815"
Taby,"224,003","223,938","221,053","224,835","225,756","236,495","243,752","254,091","265,326","273,212","279,085","282,572","282,953","287,397","293,813","301,157","308,024","311,101","319,464","318,319","317,269","324,299","332,873","340,131","348,428","357,500","361,584"
Danderyd,"225,279","226,018","224,497","227,189","228,993","239,616","247,027","256,987","270,722","279,617","286,839","289,715","289,340","298,264","303,738","315,796","320,567","323,918","332,011","330,448","328,490","336,229","345,333","352,945","362,342","370,692","376,371"
Sollentuna,"212,944","213,122","209,530","211,272","213,381","223,157","229,593","238,722","250,043","259,030","266,348","268,031","269,513","274,073","278,282","283,559","289,158","291,978","298,284","296,401","295,927","302,714","310,662","314,883","324,454","331,603","335,060"
Stockholm,"192,671","194,542","190,326","190,117","190,715","196,956","201,667","210,923","221,614","229,790","235,369","237,688","238,969","242,782","247,152","253,000","259,068","263,603","269,595","269,727","271,030","278,948","286,563","293,364","304,392","313,031","317,837"
Sodertalje,"189,977","192,046","189,399","187,729","187,592","194,353","199,005","204,181","211,192","215,521","221,283","224,353","226,456","229,931","232,463","232,539","232,545","232,788","233,624","229,245","229,249","234,098","237,712","240,183","247,619","254,413","260,010"
Nacka,"210,109","210,488","206,352","207,611","208,258","215,794","222,395","232,065","242,671","251,062","257,698","262,696","264,267","270,703","276,379","282,175","288,626","291,261","298,112","298,312","299,907","307,607","314,028","322,894","334,130","341,535","346,157"
Sundbyberg,"196,073","195,235","190,193","190,457","192,435","199,989","205,140","215,738","227,580","235,354","242,630","243,566","243,179","245,369","248,624","251,346","258,079","258,398","263,595","263,300","262,895","271,409","278,644","287,200","297,408","308,093","315,771"
Solna,"195,790","197,176","192,842","192,131","192,007","198,281","203,249","212,673","222,064","230,947","236,907","242,121","243,173","246,114","250,503","256,559","263,401","267,818","274,599","273,220","272,720","282,705","293,158","302,294","313,132","321,591","327,756"
Lidingo,"220,316","221,858","215,888","220,151","221,700","229,673","234,954","244,297","254,081","261,510","266,970","270,127","271,240","276,401","282,832","288,653","294,776","297,018","305,247","302,315","300,897","308,734","315,740","321,977","331,405","339,544","347,288"
Vaxholm,"204,012","206,467","202,246","203,815","203,322","213,154","220,313","226,257","235,771","245,701","255,215","260,413","261,085","266,343","273,798","279,992","289,375","288,872","299,776","300,922","303,453","309,568","318,360","322,408","332,647","340,288","344,742"
Norrtalje,"173,956","176,654","173,240","174,943","176,118","182,518","186,769","195,031","203,131","209,337","212,178","217,212","219,682","223,692","226,972","230,773","233,915","234,282","239,803","238,129","236,725","241,574","247,474","250,572","256,972","264,356","267,000"
Sigtuna,"199,617","200,227","196,948","196,790","198,052","205,687","211,060","219,600","229,949","236,027","240,278","241,228","242,056","244,993","247,929","250,049","253,993","254,962","257,342","255,364","254,067","258,577","263,452","267,761","274,950","282,396","285,088"
Nynashamn,"195,648","196,483","192,180","192,356","192,793","201,329","206,523","212,987","223,013","227,713","230,964","234,980","234,171","241,128","243,175","243,276","245,203","246,707","252,212","250,068","248,827","254,921","259,964","263,625","271,276","279,049","281,453"
UPPSALA LAN,"180,336","182,201","177,876","177,516","177,909","183,998","188,714","197,153","206,426","213,293","218,461","223,397","226,074","230,410","233,673","236,231","240,273","242,322","247,632","246,138","246,625","252,658","259,396","264,906","273,673","280,142","283,868"
Habo,"207,840","207,299","202,246","203,694","206,350","214,852","221,433","229,983","238,470","247,110","252,548","256,847","259,369","262,650","267,315","271,821","275,664","277,598","283,172","282,474","281,219","288,649","294,385","298,503","306,807","313,109","316,831"
Alvkarleby,"172,964","177,486","173,902","177,316","178,191","183,578","188,879","196,366","205,947","211,004","213,744","216,512","219,147","225,427","226,087","229,527","230,085","233,893","239,584","237,981","230,555","234,847","242,195","245,911","248,029","254,093","259,716"
Knivsta,0,0,0,0,0,0,0,0,0,0,0,"256,038","258,499","264,214","270,880","276,961","283,509","286,273","292,037","294,245","297,208","305,391","311,016","320,019","327,418","336,172","339,747"
Heby,"159,637","163,343","160,923","159,621","160,364","165,305","168,599","176,144","185,079","189,337","193,223","200,790","203,603","206,953","210,217","213,327","216,492","216,762","220,460","218,581","217,435","224,267","230,814","235,039","240,858","248,263","254,747"
Tierp,"162,189","167,087","163,439","164,723","166,749","171,196","175,984","183,716","189,820","194,778","199,445","202,462","204,381","209,201","211,641","215,531","216,553","219,191","223,720","221,187","222,368","227,278","231,665","234,898","242,060","247,101","250,922"
Uppsala,"182,321","183,310","178,935","178,080","177,187","183,599","187,863","196,086","206,249","213,577","219,363","222,624","225,140","228,915","232,114","235,769","239,906","241,756","246,393","244,272","245,271","251,139","258,284","264,660","274,235","281,406","284,466"
Enkoping,"176,367","178,873","175,094","174,852","176,367","182,862","187,963","197,076","204,830","211,266","215,147","220,020","223,189","228,148","231,578","235,415","240,224","241,270","249,329","247,743","247,712","255,076","261,188","265,405","274,490","279,694","283,141"
Osthammar,"172,964","176,377","171,916","171,919","175,032","180,603","184,653","193,216","201,563","207,470","212,547","216,436","219,053","224,198","227,959","230,421","233,664","237,806","244,569","242,952","242,495","248,901","255,419","259,200","265,280","268,690","273,924"
SODERMANLANDS LAN,"177,359","180,260","176,816","176,860","177,959","182,919","187,497","195,270","202,415","207,776","211,862","216,189","219,714","224,425","228,308","232,178","235,882","237,813","241,775","239,319","238,806","243,016","247,803","250,232","257,857","263,580","267,688"
Vingaker,"166,301","170,553","167,015","168,617","171,558","179,544","181,583","188,804","195,310","202,071","205,408","210,160","211,844","216,273","218,385","222,715","224,318","226,422","232,654","229,003","226,967","228,816","233,225","235,287","239,916","243,080","247,056"
Gnesta,"175,516","178,041","174,697","175,892","178,316","184,433","189,871","197,748","207,134","213,134","217,623","222,738","225,611","228,583","232,445","237,819","243,130","244,809","249,310","248,148","248,081","251,488","254,828","260,191","267,251","271,345","278,294"
Nykoping,"180,903","183,310","179,995","179,500","180,832","185,689","190,800","198,718","205,599","211,445","215,493","220,641","224,490","228,977","233,732","237,781","241,944","243,681","248,519","247,797","247,920","251,745","258,280","263,347","269,770","275,859","279,595"
Oxelosund,"196,924","198,424","193,372","193,059","195,602","202,522","207,633","213,330","221,825","226,685","227,766","231,594","233,322","236,361","239,600","241,766","244,218","246,720","250,414","247,385","245,449","247,731","252,773","250,892","253,963","257,876","261,136"
Flen,"169,987","173,465","170,591","171,019","173,135","177,627","180,947","188,231","192,426","198,675","202,388","206,305","210,156","215,471","217,652","219,461","220,436","220,668","223,553","220,660","217,206","219,517","223,255","222,704","227,512","230,922","234,676"
Katrineholm,"168,711","172,911","170,459","170,834","171,836","176,658","181,809","189,990","197,041","203,463","205,906","208,383","209,007","212,690","216,558","218,968","222,256","223,509","229,664","226,088","226,532","231,232","235,666","239,623","247,452","252,821","256,607"
Eskilstuna,"175,516","178,041","174,035","173,863","173,877","178,333","182,227","189,792","195,482","199,315","203,713","208,566","213,571","218,531","222,720","226,928","230,418","232,629","233,892","229,708","229,450","233,644","237,906","239,402","247,616","253,967","258,082"
Strangnas,"184,022","187,470","183,968","184,664","184,953","190,809","195,748","203,731","213,873","220,117","226,014","231,028","233,200","239,675","243,379","246,295","250,943","251,979","259,577","259,665","259,150","265,311","270,447","273,633","283,667","289,215","294,720"
Trosa,"192,812","194,680","192,180","193,702","197,620","204,944","212,353","221,119","229,229","236,098","240,369","243,285","245,452","252,423","259,230","263,650","267,725","270,741","273,514","277,524","276,468","281,386","282,313","286,820","294,981","303,275","303,495"
OSTERGOTLANDS LAN,"172,822","175,822","172,578","172,650","173,659","178,819","183,036","191,132","198,305","205,020","207,325","212,423","214,777","219,087","221,870","225,364","229,138","231,186","236,137","234,093","233,706","238,788","245,302","249,599","258,116","265,467","269,744"
Odeshog,"149,713","150,309","147,678","151,809","150,926","156,559","162,112","172,481","178,754","184,353","185,555","192,116","196,491","200,205","203,048","208,920","211,651","212,850","215,443","215,454","214,969","217,214","224,916","226,494","231,740","237,467","241,685"
Ydre,"149,004","149,615","148,473","151,180","154,704","160,182","164,317","172,905","182,154","187,413","191,961","198,212","205,194","206,916","207,991","213,665","219,334","225,177","231,883","228,739","222,726","228,555","234,684","237,848","245,405","253,470","258,421"
Kinda,"152,549","156,964","157,214","158,425","160,362","164,948","171,091","176,724","183,467","189,992","192,839","199,607","204,547","209,651","215,038","217,815","219,696","222,440","229,247","228,517","228,739","233,150","240,669","244,050","250,314","258,218","262,173"
Boxholm,"159,212","163,620","162,644","163,137","166,339","170,995","175,269","184,664","191,801","198,910","200,722","207,607","210,768","215,642","218,644","222,639","228,889","234,045","236,749","230,482","233,182","238,017","244,394","248,188","259,571","267,213","272,714"
Atvidaberg,"170,270","173,327","171,518","170,095","171,840","176,013","181,571","191,080","198,383","204,690","206,389","212,335","213,156","217,102","220,667","223,551","227,627","227,163","231,567","229,950","231,692","233,534","238,255","246,084","251,822","260,288","261,108"
Finspang,"172,113","176,238","172,313","174,305","175,896","181,290","185,623","193,899","201,122","205,580","207,401","212,386","216,722","221,928","227,016","229,001","231,346","234,892","240,406","238,389","239,158","241,805","246,839","244,727","250,583","257,840","265,600"
Valdemarsvik,"156,093","159,183","155,360","155,391","158,754","162,902","166,931","174,947","181,880","187,800","191,678","195,860","200,602","202,937","205,714","208,852","212,759","214,723","218,712","216,509","211,623","214,758","222,420","225,550","230,257","236,014","238,831"
Linkoping,"178,918","181,092","177,478","177,334","177,875","182,629","187,395","196,259","204,568","212,232","214,177","219,106","219,819","224,181","226,575","230,178","232,763","235,417","239,696","237,784","237,348","243,296","250,170","256,612","267,178","274,524","278,864"
Norrkoping,"175,374","178,180","174,829","173,387","173,803","179,232","182,259","189,220","195,229","201,045","203,748","208,428","211,543","215,720","218,637","222,389","226,773","228,758","234,255","232,828","232,453","237,768","244,186","247,747","255,176","262,459","266,863"
Soderkoping,"170,412","172,217","170,856","171,816","175,315","181,021","187,107","194,183","200,784","207,080","210,298","215,216","219,119","223,959","226,100","229,705","233,344","237,182","245,132","243,767","243,606","247,072","253,819","261,564","270,828","278,616","284,003"
Motala,"170,412","175,268","172,181","173,169","174,207","179,447","183,486","192,478","200,980","209,206","209,872","214,956","217,498","220,844","223,085","225,724","229,937","228,287","233,006","228,716","227,591","232,329","239,164","242,950","249,922","255,913","259,217"
Vadstena,"173,956","175,684","174,565","176,747","176,875","181,897","185,748","192,875","199,678","206,999","210,164","214,824","217,281","224,153","226,028","228,890","231,180","234,601","239,725","236,419","234,816","239,342","243,264","246,275","254,734","259,557","261,579"
Mjolby,"167,151","170,276","167,545","169,086","170,905","176,894","182,089","191,401","198,032","204,557","206,421","211,634","214,671","220,424","222,311","227,467","232,692","235,430","240,344","237,791","237,419","243,645","250,001","255,636","264,881","273,628","277,799"
JONKOPINGS LAN,"169,987","173,465","170,459","171,386","173,813","179,740","184,981","193,982","202,579","210,008","214,260","218,430","221,405","226,856","231,090","236,002","240,996","243,279","246,197","245,167","246,300","251,725","257,000","262,597","270,341","277,492","282,811"
Aneby,"150,989","153,637","153,770","156,466","158,027","162,191","167,311","178,859","186,564","195,416","200,193","206,266","211,237","217,791","221,659","225,613","231,035","233,373","236,726","237,540","236,550","240,538","246,111","252,783","258,628","268,569","274,064"
Gnosjo,"181,187","184,697","182,379","186,056","189,251","197,134","205,516","215,279","223,911","230,530","231,296","234,347","235,741","240,279","244,454","249,409","252,728","253,626","253,806","251,395","254,023","260,968","267,219","270,046","278,414","281,638","287,144"
Mullsjo,"171,830","174,713","167,280","169,939","172,311","179,771","184,324","195,151","204,584","211,130","214,269","219,161","222,826","227,457","230,876","239,073","242,819","244,975","245,999","246,625","246,988","251,506","257,919","259,002","265,299","273,142","270,053"
Habo,"173,956","178,873","176,816","179,422","184,806","192,259","197,556","205,219","215,171","223,705","227,364","234,411","236,499","242,365","247,404","251,132","256,801","259,094","265,131","265,754","266,932","274,565","280,048","288,138","295,224","301,731","306,530"
Gislaved,"176,508","180,953","177,478","179,412","183,997","191,832","197,362","206,816","213,915","221,029","224,404","228,680","226,771","232,953","237,641","241,707","247,272","248,551","249,410","247,849","249,562","255,699","260,055","264,169","270,223","279,746","284,336"
Vaggeryd,"166,868","169,721","168,075","170,393","176,748","183,074","190,482","200,950","212,667","220,968","223,851","222,958","223,349","229,194","232,823","238,267","244,022","245,557","246,449","249,770","252,112","256,138","262,783","272,068","278,508","284,895","290,406"
Jonkoping,"174,240","177,486","174,035","174,293","175,229","181,026","185,597","194,198","202,381","209,652","214,063","219,835","223,159","228,930","232,535","237,483","242,019","243,852","248,667","247,599","248,837","254,954","259,998","266,689","275,182","282,504","287,976"
Nassjo,"165,592","169,860","167,280","167,607","169,756","175,766","179,340","187,641","195,163","202,187","204,991","209,720","214,296","218,580","223,207","227,692","231,696","234,598","237,893","236,211","235,482","241,011","246,842","249,213","255,865","264,626","271,432"
Varnamo,"176,225","179,566","177,213","179,888","183,387","191,223","196,364","205,371","214,113","221,150","224,235","227,352","230,016","236,121","239,549","244,957","249,845","253,163","253,571","252,186","255,125","260,734","267,112","273,409","280,085","287,672","292,777"
Savsjo,"153,541","154,746","153,506","154,360","155,376","159,670","165,184","174,391","183,248","190,157","195,083","198,755","203,900","208,924","214,146","219,539","224,933","228,730","229,445","230,741","230,372","234,223","237,431","240,360","251,613","256,957","263,042"
Vetlanda,"162,473","166,255","163,042","163,806","166,246","171,774","177,047","186,628","194,479","202,300","206,745","211,221","215,028","220,850","225,715","230,659","237,852","239,607","241,542","240,723","240,907","244,809","249,403","256,622","263,930","270,664","275,524"
Eksjo,"162,898","167,503","165,161","164,966","167,801","172,731","179,145","186,086","193,452","200,042","205,690","210,628","214,809","219,092","225,883","230,434","234,839","238,086","242,210","241,447","240,525","244,084","251,182","255,784","262,429","268,678","271,597"
Tranas,"160,630","165,007","162,115","161,485","163,338","167,878","171,671","181,943","188,673","194,277","199,426","203,935","207,452","209,370","214,567","218,851","224,093","228,667","232,846","228,053","227,487","230,434","235,691","238,930","247,814","253,019","260,224"
KRONOBERGS LAN,"168,427","171,247","168,472","169,254","171,747","178,197","182,984","191,505","200,276","205,528","209,791","213,828","216,978","222,052","226,957","231,552","235,526","237,730","240,834","237,622","238,061","242,555","247,777","251,507","258,761","265,861","269,869"
Uppvidinge,"157,652","161,818","158,274","159,086","163,260","168,281","173,631","183,239","193,697","198,885","202,571","206,475","209,499","214,486","217,120","219,870","227,819","230,050","229,133","229,083","228,856","228,515","233,906","238,923","245,575","252,904","260,417"
Lessebo,"164,174","166,948","165,426","166,469","169,237","176,421","182,014","190,472","199,963","203,912","206,324","211,301","214,309","216,952","221,829","225,275","226,723","227,304","231,456","223,504","224,278","226,915","231,243","228,017","232,185","240,587","243,762"
Tingsryd,"150,989","155,023","153,638","156,114","158,048","162,429","168,689","176,782","183,770","185,241","189,518","194,201","197,760","202,206","207,654","211,596","214,266","216,361","219,642","218,126","215,113","221,718","224,772","226,861","231,500","239,689","244,998"
Alvesta,"164,458","167,641","165,293","166,923","168,673","176,627","180,538","188,278","197,333","202,788","207,424","211,605","213,750","219,930","225,206","228,731","233,689","236,690","238,335","235,362","235,540","239,626","244,240","247,706","255,887","262,002","266,222"
Almhult,"165,025","169,583","167,412","169,090","171,507","177,390","182,600","189,571","200,350","205,330","208,041","213,698","218,654","222,890","227,866","233,737","241,092","244,281","249,151","247,730","249,769","253,951","258,793","263,331","273,502","279,013","281,429"
Markaryd,"160,488","162,788","160,260","161,078","162,825","167,842","171,178","182,332","189,790","195,271","198,250","202,912","205,993","209,451","212,710","216,355","218,641","217,002","219,856","214,042","212,190","216,652","221,687","224,788","229,889","236,830","238,440"
Vaxjo,"177,501","179,705","176,816","176,035","178,809","184,614","189,225","198,101","206,554","211,379","216,605","220,174","222,484","227,887","233,276","238,264","242,242","244,341","248,596","245,783","246,799","251,713","257,369","262,726","269,733","277,189","280,359"
Ljungby,"169,420","171,247","169,134","170,809","173,295","180,033","185,845","193,148","201,474","207,867","211,764","215,448","219,985","225,424","230,752","234,915","237,495","240,016","242,027","237,360","236,269","241,498","246,397","249,731","257,900","264,027","269,724"
KALMAR LAN,"166,301","169,860","167,015","167,277","169,557","174,969","179,265","187,415","195,019","200,132","203,840","208,082","211,839","216,369","219,329","222,768","226,557","228,925","233,229","230,877","231,031","234,687","241,340","245,321","252,796","258,663","263,676"
Hogsby,"150,847","155,439","152,976","151,791","157,046","162,557","168,755","175,037","182,925","185,761","185,032","190,242","191,197","195,996","200,293","204,264","204,764","205,486","205,796","202,614","199,284","203,108","209,490","210,879","216,681","219,129","223,678"
Torsas,"141,348","144,485","147,545","149,612","150,712","154,580","161,519","168,807","178,047","183,259","189,269","192,487","197,477","201,986","206,220","210,566","212,680","215,071","217,052","213,642","213,201","216,465","219,693","225,487","231,870","235,055","243,419"
Morbyrlanga,"163,323","165,839","165,028","165,789","167,825","172,840","177,191","185,806","194,035","200,839","206,934","210,864","214,184","221,198","225,281","229,273","232,434","235,920","242,111","242,627","242,702","247,336","254,025","258,395","266,770","271,976","276,360"
Hultsfred,"160,204","163,620","160,260","159,571","161,611","167,228","171,461","178,737","187,082","190,150","194,185","198,050","202,688","205,613","210,219","211,850","214,378","214,121","216,112","214,585","216,173","217,701","222,190","223,887","229,569","232,213","238,767"
Monsteras,"169,987","172,633","169,002","169,254","173,019","180,417","183,817","192,742","200,679","206,742","211,088","215,228","218,720","223,639","226,378","230,099","233,799","239,287","241,169","237,867","237,870","240,491","244,585","248,011","256,650","261,716","266,734"
Emmaboda,"163,465","166,948","164,101","165,868","167,932","174,332","181,162","188,724","198,430","203,567","204,842","209,833","212,766","216,669","217,854","224,029","225,692","227,523","231,098","226,625","227,662","228,143","233,234","235,962","242,848","245,749","252,053"
Kalmar,"175,941","179,289","175,359","174,429","175,381","180,734","183,436","191,416","199,460","204,416","208,779","212,876","215,826","219,797","222,829","227,676","231,825","233,772","239,616","238,299","237,795","242,843","252,042","256,944","266,172","274,274","279,528"
Nybro,"164,032","168,335","166,220","167,119","170,128","175,404","179,883","187,701","195,581","199,425","202,600","205,352","208,718","210,721","214,548","218,523","221,238","221,973","223,412","218,437","218,079","221,990","227,839","231,192","236,406","240,578","245,039"
Oskarshamn,"174,382","179,012","176,419","178,650","182,173","188,792","193,171","200,705","209,328","214,633","218,229","223,472","227,107","234,245","237,341","240,305","246,143","250,673","256,138","253,638","253,893","258,167","266,976","273,424","281,710","287,758","293,491"
Vastervik,"167,009","170,692","167,545","167,478","169,730","174,808","179,520","187,785","194,941","198,994","201,330","205,474","210,348","215,334","216,811","217,842","220,993","223,921","228,269","225,972","226,073","230,369","234,656","238,106","244,501","249,843","254,144"
Vimmerby,"164,599","166,809","164,234","165,050","167,242","173,078","177,057","185,989","193,229","200,475","204,331","208,652","212,381","217,529","220,047","224,879","228,388","230,704","233,915","231,975","232,876","236,201","241,433","248,106","256,066","261,290","266,151"
Borgholm,"137,237","140,741","140,128","141,419","143,463","145,493","151,553","160,448","167,617","172,496","175,876","181,761","187,753","191,525","196,008","198,383","203,032","202,846","207,498","209,508","207,968","211,227","217,188","217,518","227,222","232,398","239,358"
GOTLANDS LAN,"160,063","163,343","161,850","162,667","164,229","169,025","173,066","180,723","187,437","192,947","196,359","199,648","202,842","206,958","209,643","213,697","216,498","217,947","223,674","221,773","219,785","224,132","230,284","233,855","242,452","248,302","252,725"
Gotland,"160,063","163,343","161,850","162,667","164,229","169,025","173,066","180,723","187,437","192,947","196,359","199,648","202,842","206,958","209,643","213,697","216,498","217,947","223,674","221,773","219,785","224,132","230,284","233,855","242,452","248,302","252,725"
BLEKINGE LAN,"171,830","175,822","173,108","173,373","174,889","179,451","183,410","190,876","198,612","204,186","207,355","211,962","215,764","219,955","223,792","227,145","229,852","231,238","234,082","230,680","229,234","234,724","240,367","243,714","249,749","256,859","262,549"
Olofstrom,"179,060","183,587","181,187","180,141","182,006","185,066","189,846","197,238","206,950","211,483","212,360","216,520","218,985","222,064","225,712","228,592","232,840","232,975","230,822","224,201","225,451","228,432","233,758","234,645","242,740","250,937","258,813"
Karlskrona,"171,121","175,545","173,505","173,481","175,204","180,918","184,373","191,692","199,949","206,554","210,805","215,313","218,598","222,198","226,791","230,886","233,588","234,906","238,844","235,524","233,050","240,196","246,817","251,432","257,493","264,477","270,534"
Ronneby,"169,561","173,188","169,929","169,518","170,313","174,027","178,094","185,385","191,003","196,203","199,344","204,006","209,473","215,786","218,648","221,984","223,525","224,816","226,451","223,659","223,987","228,631","233,561","235,842","239,172","245,144","249,858"
